Reference Descriptor,Reference,Descriptor,Primary,How to Prepare,Suggested Brands
Citrus Fruit,Peels of Lemon and Lime,Citrus Fruit,Fruity,Place 0.5 grams of lemon peel and 0.5 grams of lime peel in a plastic or glass cup and cover. ,
Citrus Fruit,“Le Nez du Café Revelation” (36 vials) – Vial # 15: Lemon,Citrus Fruit,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Café” Revelations Edition (36 Aromas)
Citrus Fruit,Scentone T100 – Vial # 26: Lemon,Citrus Fruit,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",“Scentone” T100 
Citrus Fruit,Scentone T100 – Vial # 28: Lime,Citrus Fruit,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",“Scentone” T100 
Citrus Fruit,Lemon syrup,Citrus Fruit,Fruity,Place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet"
Citrus Fruit,Citrus oils/Lemon oil ,Citrus Fruit,Fruity,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","Salvia Oil, Nature’s Oil, Young Living/DoTerra Citrus or Lemon Essential Oil"
Vanilla/vanillin,Vanilla Extract,Vanilla/vanillin,Sweet,"Place a few drops essence on a cotton ball, place in a plastic or glass cup and cover. ",McCormick or other pure vanilla extract
Vanilla/vanillin,"“Le Nez du Café Revelation” (36 vials) – Vial #10, Vanilla",Vanilla/vanillin,Sweet,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
Vanilla/vanillin,"Scentone T100 – Vial #77, Vanilla",Vanilla/vanillin,Sweet,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,“Scentone” T100
Brown Sugar,"Brown Sugar (Muscovado, Turbinado)",Brown Sugar,Sweet,Place one teaspoon brown sugar in a glass or cup and cover. ,C&H Light Brown Sugar
Brown Sugar,"“Le Nez du Café Revelation” (36 vials) – Vial #25, Caramel",Brown Sugar,Sweet,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
Brown Sugar,"Scentone T100 – Vial #52, Brown Sugar ",Brown Sugar,Sweet,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,“Scentone” T100
Brown Sugar,"Scentone T100 – Vial #51, Caramel",Brown Sugar,Sweet,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,“Scentone” T100
Sour,White Vinegar,Sour,Sour/fermented,Place in a glass or plastic cup and cover. ,Heinz Distilled White Vinegar
Sour,5% Acetic Acid Solution,Sour,Sour/fermented,Place in a glass or plastic cup and cover. ,
Fermented,Beer,Fermented,Sour/fermented,Place in a glass or plastic cup and cover. ,"Guinness, or a stout or similar beer without hop aroma"
Green/vegetative,Parsley water,Green/vegetative,Green/vegatative,Rinse and chop 25 grams of fresh parsley. Add 300mL of water and let sit for 15 minutes. Filter out the parsley. Serve one tablespoon of the water in a glass or plastic cup. ,
Green/vegetative,“Le Nez du Café Revelation” (36 vials) – Vial #3: Garden Peas  ,Green/vegetative,Green/vegatative,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
Green/vegetative,“Le Nez du Café Revelation” (36 vials) – Vial #4: Cucumber  ,Green/vegetative,Green/vegatative,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
Green/vegetative,Scentone T100 – Vial #91: Cucumber,Green/vegetative,Green/vegatative,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
